id,date,int
1,20211204,1
2,20211206,2
3,20211207,1
4,20211207,1
5,20211209,1
6,20211210,2
7,20211211,1
8,20211212,1
9,20211214,1
10,20211216,1
11,20211218,1
12,20211218,1
13,20211218,1
14,20211218,1
15,20211219,1
16,20211222,1
17,20211223,1
18,20211223,1
19,20211223,1
20,20211224,1
21,20211224,1
22,20211225,2
23,20211226,1
24,20211226,1
25,20211227,1
26,20220210,1
27,20220216,1
28,20220217,1
29,20220301,1
30,20220304,1
31,20220604,1
32,20220716,1
33,20221127,1
34,20230606,2
35,20230618,2
36,20230630,1